"ID";"Повна назва товару";"Ціна";"К-ть";"Розд. ціна";"Опт. ціна";"Націнка 15";"ID групи";"Штрих-код виробника";"Націнка 5";"Ціна 20";"Додатково"
"5444";"Зубна щітка Colgate Zig Zag (1шт) Medium/12";"14,00";"1";"19,00";"15,40";"16,10";"176";"6001067004943";"14,70";"16,80";""
"4806";"Зубна щітка Dentix дитяча  від 2-6, (2 шт)/18";"30,00";"17";"35,00";"33,00";"34,55";"176";"7610196023115";"31,50";"36,00";""
"383";"Зубна щітка Dontodent (2 шт) junior/16";"0,85";"15";"36,00";"29,95";"31,30";"176";"4058172058547";"28,60";"32,65";""
"269";"Зубна щітка Dr. Brush 3035/12";"4,50";"48";"8,00";"5,00";"5,20";"176";"6930660930352";"4,75";"5,45";""
"3557";"Зубна щітка Dr. Brush 6023/12";"5,40";"43";"8,00";"5,95";"6,25";"176";"6930660960236";"5,70";"6,50";""
"5716";"Зубна щітка Dr. Brush Дитяча/12";"4,55";"46";"8,00";"5,05";"5,25";"176";"6930660901147";"4,80";"5,50";""
"5248";"Зубна щітка Meridol Soft (1 шт)/12";"34,00";"17";"40,00";"37,45";"39,10";"176";"8718951263130";"35,75";"40,85";""
"2620";"Зубна щітка ORAL-B 1*2*3 Classic (1 шт) /12 /96";"15,15";"60";"18,00";"16,70";"17,45";"176";"3014260832834";"15,95";"18,20";""
"4171";"Зубна щітка ORAL-B 1*2*3 Classic (3 шт)";"20,83";"20";"25,00";"22,95";"24,00";"176";"3014260818388";"21,90";"25,00";""
"5803";"Зубна щітка ORAL-B Pro-Expert Pulsar (на батарейці)(1 шт)";"20,83";"15";"100,00";"22,95";"24,00";"176";"3014260319595";"21,90";"25,00";""
"5755";"Зубна щітка ORAL-B Ultra Thin (1 шт) New /12 /96";"25,24";"70";"40,00";"27,80";"29,05";"176";"3014260095925";"26,55";"30,30";""
"5804";"Зубна щітка ORAL-B Ultra Thin (Silver) (1 шт)";"20,83";"19";"40,00";"22,95";"24,00";"176";"3014260099565";"21,90";"25,00";""
"5756";"Зубна щітка ORAL-B Ultra Thin Зелений чай (1 шт) /12 /96";"25,25";"69";"40,00";"27,80";"29,05";"176";"3014260094539";"26,55";"30,30";""
"5757";"Зубна щітка ORAL-B Дбайлива турбота (1 шт) /12 /96";"18,90";"62";"40,00";"20,80";"21,75";"176";"3014260100414";"19,85";"22,70";""
"30";"Кашемір  бальзам";"37,80";"22";"41,60";"41,60";"43,50";"7";"4810153021984";"39,70";"45,40";""
"19";"Кашемір для жирного шампунь";"41,80";"37";"46,00";"46,00";"48,10";"6";"4810153021960";"43,90";"50,20";""
"1344";"Кашемір для сухого шампунь";"41,80";"30";"46,00";"46,00";"48,10";"6";"4810153021953";"43,90";"50,20";""
"1944";"Кератин актив шампунь";"54,60";"1";"60,10";"60,10";"62,80";"6";"4810153015433";"57,35";"65,55";"інна"
"1394";"Кератин маска";"45,20";"3";"49,75";"49,75";"52,00";"7";"4810153015440";"47,50";"54,25";""
"34";"Кефірний  бальзам";"37,80";"3";"41,60";"41,60";"43,50";"7";"4810151005085";"39,70";"45,40";"Юмікс"
"5747";"Клей ""505"" Секунда/50шт";"2,68";"95";"3,50";"2,95";"3,10";"23";"6937272800172";"2,85";"3,25";""
"38";"Козье молоко  бальзам";"37,80";"3";"41,60";"41,60";"43,50";"7";"4810151005092";"39,70";"45,40";"Юмікс"
"1013";"Козье молоко шампунь";"37,80";"1";"41,60";"41,60";"43,50";"6";"4810151005078";"39,70";"45,40";"юмікс"
"3103";"Контрацепти ""Гусарські"" (3 шт)";"10,00";"2";"14,00";"11,00";"11,50";"128";"5060040305287";"10,50";"12,00";""
"3321";"Контрацепти Contex (12 шт)";"67,00";"8";"82,00";"73,75";"77,05";"128";"";"70,40";"80,45";""
"5307";"Контрацепти Contex (12 шт) Classic";"67,00";"127";"82,00";"73,75";"77,05";"128";"5060040302552";"70,40";"80,45";""
"5309";"Контрацепти Contex (12 шт) Extra Sensation";"67,00";"69";"82,00";"73,75";"77,05";"128";"5052197051506";"70,40";"80,45";""
"5310";"Контрацепти Contex (12 шт) Light";"67,00";"130";"82,00";"73,75";"77,05";"128";"5060040302088";"70,40";"80,45";""
"5308";"Контрацепти Contex (12 шт) Long Love";"67,00";"72";"82,00";"73,75";"77,05";"128";"5060040302545";"70,40";"80,45";""
